dexy - INFO - starting logging for dexy
dexy - INFO - (state:running) 6eb715722bfd823c6e8e87bde2e84778 doc:node_modules/grunt/node_modules/js-yaml/node_modules/esprima/bin/esvalidate.js: running...
dexy - INFO - (state:running) 265ef9509015db6f6cd6cb03e934d04f doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/noptify/index.js: running...
dexy - INFO - (state:running) 49880fbeefc0a1421c470d2557bd42f7 doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/faye-websocket/lib/faye/websocket/hybi_parser/stream_reader.js: running...
dexy - INFO - (state:running) 80cf708e87d62de20695e9095b9aaffe doc:node_modules/grunt/node_modules/lodash/vendor/tar/vendor/fstream/lib/file-reader.js: running...
dexy - INFO - (state:running) 16ce98f6a70098153414890c62d58efe doc:node_modules/grunt/node_modules/findup-sync/node_modules/glob/node_modules/minimatch/test/extglob-ending-with-state-char.js: running...
dexy - INFO - (state:running) e4acccaa664f0bdebbbd14686178e625 doc:node_modules/grunt/node_modules/lodash/vendor/tar/lib/buffer-entry.js: running...
dexy - INFO - (state:running) 26fcdb83458f608d3722dec7b2ad4fa3 doc:node_modules/grunt/node_modules/glob/test/root.js: running...
dexy - INFO - (state:running) 0294156035ae046e3519c73bfe2beb8e doc:node_modules/grunt/node_modules/js-yaml/lib/js-yaml/type/timestamp.js: running...
dexy - INFO - (state:running) 0c67972014aaf9321ec1341f8758b023 doc:node_modules/grunt-contrib-compass/tasks/lib/compass.js: running...
dexy - INFO - (state:running) a49aa7b558423f6715cfaee81bbff495 doc:node_modules/grunt/node_modules/iconv-lite/encodings/big5.js: running...
dexy - INFO - (state:running) bd2698298303dc1e102cdf9ecedf1bfd doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/minimatch/test/caching.js: running...
dexy - INFO - (state:running) e4e2044aed5d2af831f6a882c8128a48 doc:node_modules/grunt/node_modules/findup-sync/node_modules/glob/node_modules/inherits/inherits.js: running...
dexy - INFO - (state:running) ab1ec23d1d99121cb80acdaaead9d450 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/minimatch/node_modules/sigmund/bench.js: running...
dexy - INFO - (state:running) fc1f7377327f9af3a5669ce3eb9c5f50 doc:node_modules/grunt-contrib-watch/node_modules/gaze/node_modules/globule/node_modules/lodash/vendor/tar/vendor/fstream/lib/get-type.js: running...
dexy - INFO - (state:running) c2a736bc68008fec845063df9b655126 doc:node_modules/grunt/node_modules/minimatch/node_modules/sigmund/test/basic.js: running...
dexy - INFO - (state:running) c3645eb6062435ac8554935718f76b3d doc:node_modules/grunt-contrib-watch/node_modules/tiny-lr-fork/node_modules/qs/test/stringify.js: running...
